title,description,views,applications,experience,salary
Python Developer,"DevKit has been developing this product for our reliable US partner for last half a year. At the moment, the product is in the active development phase. We are looking for a strong Python engineer who is familiar with words of self-management and is able to handle interesting and difficult backend tasks easily. The project is related to the car distributors in the US and provides them with relevant promoting and digital solutions that help to increase their sales. - As a Backend Engineer, you will collaborate closely with our small engineering team to tackle technical challenges and introduce innovative enhancements to our project. - API integrations - Covering with testing all the existing codebases from scratch - Proactivity and ability to work with even bad described tasks - Ability to implement and offer your own solutions - Refactoring and new features implementation - FastAPI - 3+ years of experience with Python in general - PostgreSQL - Google Cloud Services - Docker - English should be okay even with pre-intermediate or intermediate in case the candidate is strong technical specialist 1 Technical Interview",11,4,,
"Python, C, C++ ML, Machine Learning","- To fine-tune created models to improve performance. - To develop and implement machine learning models for computer vision tasks with the help of Tensorflow or other frameworks. - To train new models from scratch using large datasets. - Work closely with engineers, data scientists, and product owners to develop and implement new features. - To work under models for mobile devices and develop frameworks for porting models to all platforms. - To develop and maintain code to ensure readability, scalability, and maintainability. - To take part in code reviews and give feedback to other developers. - Stay up-to-date with the latest ML/Computer Vision research advancements and apply them to ongoing projects. - Strong understanding of PyTorch, Tensorflow, and TF Lite. - 4+ years of experience in developing and implementing machine learning models for computer vision tasks. - Experience in fine-tuning existing models and training new models from scratch. - Experience optimizing models for mobile devices and converting models to different platforms. - Strong skills in Python, C++, or other relevant languages. - Good understanding of software development principles and experience working collaboratively with cross-functional teams. - Experience in mobile SDKs - advantage. - Experience working with native code on iOS and Android - plus. - English B2. - Master's or Ph.D. degree in Computer Science or related fields. - Familiarity with Agile/Scrum methodologies - preferred.",0,0,,
Junior Python Developer (with DevOps exp),"Шукаємо досвідченого   розробника/цю з досвідом з   на проєкт у сфері E-commerce.  досвід з Python розробкою від 1-го року, досвід з DevOps процесами, рівень розмовної англійської - Upper-Intermediate. Під час роботи використовується  -   комерційного досвіду розробки на Python/Django; - Досвід роботи з bitbucket pipelines; -   досвід;  - Знання HTML, CSS, JavaScript, TypeScript; -   — Upper-Intermediate; -   самостійність, відповідальність, комунікабельність, організованість, бажання розвиватись та професійно зростати. - Досвід роботи на E-commerce проєктах; - Технічна освіта. - Гнучкий графік роботи; - Гібридний формат роботи (офіс або ремоут); - Повний бухгалтерський супровід; - Професійний розвиток (доступ до платформи з навчальними курсами, проведення внутрішніх презентацій на професійну тематику); - 18 днів 100 % оплачуваної відпустки; - 10 днів 100% оплачуваних лікарняних; - Часткова компенсація курсів англійської мови.  США. Компанія займається розробкою програмного забезпечення для керування роздрібною торгівлею, рестораном або малим бізнесом. Проєкт — це інтуїтивно зрозуміла та зручна платформа для керування малим бізнесом (магазином, рестораном і тд). Функціонал платформи дозволяє працювати на iPad, Mac, ПК, Chromebook, Android, Linux і синхронізується з Cloud. Проєкт дозволяє приймати кредитні картки за допомогою вбудованих і неінтегрованих платіжних терміналів, а також реалізована можливість створення звітів в режимі реального часу і збір аналітики для вдосконалення асортименту (перевірки і аналіз  найпопулярніших та найменш продаваних продуктів). Проєкт в продакшені.  Product Owner (клієнт) та 1 розробник.  Python, Django, Vue, bitbucket pipelines. - Розробка і впровадження нового функціоналу; - Допрацювання існуючих модулів; - Баг фіксинг; - Підтримка проєкту; - Участь в Kanban процесі. - Графік роботи: гнучкий, але потрібно бути на всіх мітингах; -  - HR співбесіда (30-40 хв); - Технічна співбесіда (1 год); - Співбесіда з клієнтом (1 год). - Співбесіди українською та англійською мовами; - Виконання тестового завдання не передбачається (в окремих випадках попереджається завчасно).",57,12,,
Full Stack (Python + React.js) Developer,"Academy SMART invites Full Stack (Python + React.js) developer to join our team. Who we are: Academy Smart is a Ukrainian outsourcing and outstaffing company established in 2009. We provides high technology applications and complex systems development services. Academy Smart works with FinTech apps, ERP systems, eLearning, Data Processing, Booking systems, Management systems, Cloud services, and analytical platforms. The company’s services are constantly expanding and we keep looking for new team members. Let’s develop smart IT solutions together! ‌About the role: Project description: Our customer is developing innovative new treatments for hip dysplasia. Project from scratch. Responsibilities: - Work closely with tech lead and product team to design and implement user-friendly interfaces; - Lead the development and maintenance of our front-end architecture in React; - Contribute to back-end development when needed; - Write clean, maintainable, and efficient code; - Guide software verification plans and quality assurance procedures. Requirements: - Javascript/React.js; - Python/Django; - Implementing dynamic websites; - Unit testing Django models and views (Python in general); - Running a development server; - Working in a virtual environment; - User interaction in web browser; - Unit testing web JS; - Interacting with a REST API; - Experience with VTK/vtk.js — advantage; - English — Upper-Intermediate. We offer: - 20 working days of paid vacation per year; - Official holidays of Ukraine — days off; - Modern equipment for work; - Corporate events; - External and internal training: conferences, professional events, courses, corporate e-learning platforms; - English speaking club; - Work in a respectful and supportive team. Hiring process: - Review CV; - Internal technical interview; - 2 stages of interviews with a client. We are looking forward to your application!",5,0,,
Middle/Senior Python developer,"Responsibilities: - Development of the important platform’s components. - Participation in planning and estimation sessions. - Proactive position in platform evolvement, technical solutions, etc. - Building solutions from scratch. - Transformation of the requirements to a set of unit tests. - Code review. Requirements: -Python - experience: 3+ years -Knowledge of JavaScript would be a plus  - English: Intermediate and higher - Excellent communication skills We offer: - Short hiring process (2 interviews) - Long term contract",22,8,,$3000-4000
Full stack (Python+React.js) Developer,"Academy SMART invites Full Stack (Python+React.js) developer to join our team. ‌ Project description: Our customer is developing innovative new treatments for hip dysplasia. Project from scratch. Responsibilities: Work closely with tech lead and product team to design and implement user-friendly interfaces; Lead the development and maintenance of our front-end architecture in React; Contribute to back-end development when needed; Write clean, maintainable, and efficient code; Guide software verification plans and quality assurance procedures. Requirements: Javascript/React.js (2+ years); Python/Django; Implementing dynamic websites; Unit testing Django models and views (Python in general); Running a development server; Working in a virtual environment; User interaction in web browser; Unit testing web JS; Interacting with a REST API; Experience with VTK/vtk.js - advantage; English - Upper - Intermediate. We offer: 20 working days of paid vacation per year; Official holidays of Ukraine – days off; Modern equipment for work; Corporate events; External and internal training: conferences, professional events, courses, corporate e-learning platforms; English speaking club; Work in a respectful and supportive team. Hiring process: Review CV; Internal technical interview; 2 stages of interviews with a client. We are looking forward to your application!",26,2,,
Computer Vision Engineer,"Ми продовжуємо розширювати нашу R&D команду талановитими спеціалістами і шукаємо Computer Vision Engineer. - Створення алгоритмів інерційної навігації на основі технологій нейромереж та computer vision - Створення системи визначення цілей на базі технології object detection - Втілення алгоритмів розпізнавання на основі edge computing - 4+ роки досвіду програмування на Python, та з однією з бібліотек-  Pytorch/Tensorflow/Keras/OpenCV - Розуміння та досвід роботи з різними основами та концепціями Computer Vision, зокрема з технологією Object detection - Досвід роботи з YOLO, CNN - Досвід програмування під Linux (досвід із Raspberry Pi, Jatson Nano буде великим плюсом) - Знання в області математики, алгоритмів та структур даних - Знання в області projective geometry, SLAM, 3D проекцій - Офіційне працевлаштування - 100% оплата лікарняних - Відпустка — 24 календарних дні на рік - Крута команда, яка створює історію дронів",10,0,,
Middle to Senior Python developer,"We are looking for a subcontracted Python Developer! 👉 Required skills: — 4+ years of commercial experience with Python; — Python AWS CDK, CloudFormation templates; — Proficient experience with SQL Databases; — Experience with AWS services (lambda, dynamo, appsync); — Upper-Intermediate level of English. 👉 As a plus: — Experience with GraphQL; — Knowledge of the Microservices Architecture. 👉 Responsibilities: — Develop new features in the project; — Write reusable, testable code; — Reviewing the code of teammates; — Reviewing your implemented code in the dev environment; — Participate in the grooming process; — Tracking your work time by UpWork tracker. Full-time Level - Middle+/Senior English - B2+ RF/RB - No",29,7,,
Prompt Engineer,"Brave Fast Learners and ChatGPT fans needed to build AI products  Hey! I am Ivan Kovpak, a 5X-exited founder at primeclass.ai, a venture-backed B2B SaaS startup headquartered in Los Angeles, California. Primeclass is an AI platform to enable every business with its own AI to drive productivity, decision-making, customer and employee experience.  I am looking for Brave Fast Learners and ChatGPT fans to build AI products as prompt engineers. You will work in the proprietary AI Development Engine, with access to GPT3, GPT4, Claude and other LLMs, powered with vector databases and external APIs. You will create task-specific AI apps, and your responsibility will be their output quality. -excellent written communication in English -fast learner -experienced ChatGPT user -basic Python or/and Javascript  -team player -comfortable with remote/hybrid setting -competitive compensation package -work at your own schedule  -great work culture",143,60,,
Middle Python Developer,"Ciklum is looking for a Middle Python Developer to join our team full-time in Ukraine. We are a leading global product engineering and digital services company that unites 4000+ seasoned professionals globally on various projects in healthcare, fintech, travel, sportswear, entertainment, and security. Ciklum delivers high-impact technology solutions to Fortune 500 and fast-growing organizations worldwide. As a Middle Python Developer, become a part of a cross-functional development team working for Ciklum Client. ThetaRay is the leading provider of AI-based Big Data analytics. We are dedicated to helping financial organizations combat financial crimes through money laundering facilitating malicious crimes such as terrorist financing, narco-trafficking, and human trafficking which negatively impact the global economy. Our Unsupervised and Semi-Supervised Intuitive AI solutions enable clients to manage risk, detect money laundering schemes, uncover operational issues, and reveal valuable new growth opportunities. Back-end development to meet customer’s business needs and implement components according to modern software development environment Taking part in the decision-making process in application code design, solution development, code review Develop and review feature design documents and provide inputs/update to specifications for the solution Design and implement a set of various types of tests (unit, integration, functional, etc) Proactive position in solution development, processes improvements Working in an international distributed team in an Agile environment Communicate with PMs, engineers, Architects, QA and other colleagues and stakeholders Delivering the product roadmap and plannings To use high coding standards, software best practices and write highly testable, automatable and performant code over the whole SDLC Experience in software development for more than 3 years Excellent knowledge and experience in Python (more than 2 years) Excellent knowledge in Computer Science, Computing Theory Practical commercial experience with RDBMS (e.g PostgreSQL, MySQL, etc.) Experience with developing microservices based architecture Experience working as a software developer in an Agile environment Ability to investigate new technological areas and understand them in depth through rapid self-learning Ability to demonstrate strong analytical problem-solving skills to support scalable and sustainable design solutions Experience working in container-based environments using tools such as K8s, helm Experience developing data-oriented products preferably using Python Practical commercial experience with NoSQL solutions (e.g. Elasticsearch, MongoDB, Redis, etc.) Design and develop a scalable data processing and ML pipeline using the latest big data technologies in a fast paced agile environment Experience in machine learning FWs such as SKLearn, Tensorflow Experience with RedHat OpenShift Dev Environment knowledge: GIT, Jenkins, Docker Experience in data processing FW such as Spark, Pandas, Hadoop, Airflow Experience developing Java Care: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultations Tailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy licence, language courses and company-paid certifications Growth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globally Flexibility: choose how you want to work – a 100% remote or on-site in our offices. Own your schedule – you are the one to decide when to start your working day. Just don’t miss your regular team stand-up Opportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfil your potential Global impact: work on large-scale projects that redefine industries with international and fast-growing clients Welcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building events Discover the pros of 20-year global experience! Join one of the largest IT companies in Ukraine, awarded as one of the top 10 employers in Ukraine by Forbes. Boost your skills and make a difference with cutting-edge projects, skilled colleagues and the latest tech stacks. Ciklum has been recognised as a veteran-friendly business by the Veteran Hub in Ukraine. We’re committed to creating a welcoming environment for veterans and developing processes that meet their needs. We value the skills and unique perspectives military veterans can bring to our business and are willing to support their transition to civilian life. Be bold, not bored!",38,5,,
